Episode,Reward
0,-286.1861381200731
1,-439.0204537568128
2,-147.04879322002125
3,-108.22915885296084
4,-117.94652401133305
5,-429.25710899756274
6,-7.44947091192347
7,-94.91217257421253
8,-218.8076309624463
9,-89.54301215873939
10,-362.0843861062459
11,-304.7144493275698
12,-84.03917809342597
13,-149.79416176748762
14,-191.37085494900003
15,-221.3033525884191
16,-21.913684568329828
17,-274.54364984319443
18,-103.68987723552726
19,-114.42748195897447
20,-257.128284065329
21,-234.17044047518309
22,-155.83554872811254
23,-79.36856780318897
24,-178.5533228878263
25,-263.6254225107467
26,-412.00453191560695
27,-84.34617805318639
28,-177.89769413462204
29,-93.23871720468567
30,-103.26644678711794
31,-132.6101759723367
32,-223.57727599490403
33,-75.33615047897098
34,-111.9294688297348
35,-126.57869109603875
36,-403.1390755117651
37,-77.4282617996172
38,-391.6726268036839
39,-123.95439597643771
40,-300.3488801902507
41,-134.28775882302
42,-118.0260382537702
43,-408.2567892262707
44,-91.7643851216193
45,-75.21656754590055
46,-184.2086879541542
47,-237.1993939017088
48,-103.45852142261008
49,-54.889541365419255
50,-161.07514435856203
51,-159.93209401716726
52,-94.15642838008868
53,-191.5611909114944
54,-114.469171343621
55,-93.27266769942335
56,-69.6682873124686
57,-166.98671940085177
58,-167.23363959248732
59,-141.79690280914934
60,-156.6303665407782
61,-68.98674074799328
62,-53.56172534399254
63,-96.39174963737625
64,-24.972822769168317
65,-195.41809500615256
66,-51.32649581455871
67,-51.7520598184628
68,-95.04424592863309
69,-163.37596363091072
70,-42.611953929491875
71,-88.11133344170489
72,-76.39765070749002
73,-101.7884824031823
74,-211.4656668267162
75,24.59823435646888
76,-83.03647312210062
77,-113.66672730658694
78,-181.34781622998412
79,-227.8327360049209
80,-221.66715969176238
81,-122.31922882188273
82,-265.46244212377104
83,-77.71692312808153
84,-118.6616465463848
85,-79.887172734581
86,-71.13109338732656
87,-41.60151579168641
88,-56.964206455879264
89,-147.3554372247346
90,-78.14305211363126
91,-50.170779851509664
92,-54.64570674752659
93,-192.94307392701506
94,-206.093366057675
95,-331.79659973054777
96,-84.1106168463806
97,-187.85064676167025
98,-95.43552945313056
99,-216.01456346526052
100,-235.75346737044435
101,-42.6406305258353
102,-89.23423503586874
103,-47.47414022510451
104,-72.03766835554788
105,-61.45111620436533
106,-23.601100970536365
107,-91.71465614794893
108,-77.70906021387339
109,-148.89540427794822
110,-57.67193957086142
111,-35.6073459607569
112,-76.77913787456657
113,-219.93064385460593
114,-71.98194118493805
