Episode,Reward
0,-123.4110839166132
1,-141.5096518257965
2,-179.17310699828096
3,-67.0048922561479
4,-400.48821145950944
5,-146.88492899626812
6,-244.8818854755624
7,-119.45423466398996
8,-226.08564758774284
9,-362.8024575840246
10,-154.76264354506424
11,-119.6176517331383
12,-216.34085743481393
13,-114.30046841678765
14,-171.98064076238722
15,-104.14860630818472
16,-363.66882863375656
17,-118.39267221338221
18,-197.50997059781693
19,-249.77277374051846
20,-122.6685186234048
21,-115.63550400459869
22,-61.07039093393367
23,-100.72884608186214
24,-318.40712467194595
25,-104.71490186698706
26,-18.88094160798103
27,-157.905666738217
28,-122.61254609627662
29,-76.33987265767256
30,-360.8693932785375
31,-83.70944765060358
32,-230.9665396392175
33,-85.71323287886021
34,-245.15913166242026
35,-261.2985602145652
36,17.39893732536889
37,-116.91995604970255
38,-196.3616635871071
39,-147.63620551273075
40,-29.662723706506213
41,-43.89124979029131
42,-105.13149941734943
43,-251.54630348346694
44,-332.40173399710136
45,-94.72283965574702
46,-314.30274933359374
47,-396.25637300696064
48,37.49334477853529
49,-69.26296392086061
50,-67.11690022388298
51,-185.2162992420811
52,-129.1535193590276
53,-204.4691205594273
54,-112.10550464821449
55,-80.77836904678152
56,-216.618452849284
57,-40.42258948194127
58,-94.82711483276867
59,-138.37817801782577
60,-60.05916289452855
61,-93.19361734993711
62,-154.22958061435634
63,-233.67641534917388
64,-80.81231435956877
65,-183.66690439179152
66,-100.37861350428068
67,-70.75295221575064
68,-0.5010923889693402
69,-238.328456738991
70,-148.29446967227125
71,-226.95099399824016
72,-74.78244712841195
73,-20.81969183583213
74,-320.4834065279117
75,-60.62064391369298
76,-35.432794312571446
77,-136.68456647113425
78,-102.73156889999065
79,-355.7422077517966
80,-87.82023533063585
81,-271.5990101307091
82,-341.66216241737976
83,-102.32257603872672
84,-213.37077646094173
85,-111.63301146904384
86,-128.2727883612264
87,-172.24127507974163
88,-279.69865089025643
89,-204.20055706281258
90,-142.53818131503346
91,-256.9178934847407
92,-139.98324331026322
93,-56.159414062329894
94,-96.88538802682474
95,-89.21242252906296
96,-177.88191709423
97,-93.24813404473753
98,-61.36487708166567
99,-113.07852693360826
100,1.629939939579689
101,-127.3200211024173
102,-108.85102897431713
103,-104.76385422525782
104,-65.60019776139718
105,-65.34779099121872
106,-110.10938940534116
107,-100.13448049482882
108,8.707363665816345
109,-206.18926045399388
110,-136.09441740186153
111,-222.31366260331745
112,-169.48860151329302
113,-85.38961120430406
114,-236.95937855361674
115,-87.86649516452098
116,-266.9590639196653
117,-75.92671174225858
118,6.0866023381733925
119,-99.55533139252269
120,-89.03604706655615
121,-323.5889095990648
122,-49.65247755286411
123,-87.57648797024929
124,-33.15286143807862
125,-151.5083626665393
126,-121.99142313709952
127,-98.92027386594293
128,-193.7469888291769
129,-96.60270392761538
130,-135.5802645716424
131,-162.7776129414414
132,-54.14071518322798
133,-57.452030327829284
134,-106.11872423908301
135,-94.3598824754549
136,-143.48045204767223
137,-53.008795656224116
138,-119.30336502307394
139,-214.22483753610408
140,-90.71131886008655
141,-250.64339015131253
142,-56.517690915603666
143,-208.1522894958209
144,-263.3866386338416
145,-107.38760200424137
146,-77.3631967139837
147,-57.20461834087204
148,-84.40454380991444
149,-68.84330009729302
150,-110.25373795636062
151,-59.562813837765006
152,-152.50151827079065
153,-118.1177984809822
154,-35.39174558786158
155,-32.62195072090722
156,-90.30080308414945
157,-57.38860860580626
158,-54.17304532048959
159,-82.93701108383169
160,-40.41427600191487
161,-93.37273526482218
162,-203.7408340855268
163,-65.70687581379855
164,-66.53696334042249
165,-129.7036461831279
166,-81.11492971234563
167,-98.96734385515667
168,-167.74307212870616
169,-113.65932846010168
170,36.5733078210242
171,-124.50142503859088
172,-52.99880593372039
173,-32.056857072127684
174,-36.23585477696443
175,-34.55690606671314
176,-54.142221040525556
177,-74.67071899919904
178,-83.32620441232808
179,-64.4847347518132
180,-42.59347852612049
181,-36.77974770578156
182,-78.02087405670139
183,-73.01207160931332
184,-74.78543203338383
185,-51.415320916572725
186,-4.45841804752007
187,-46.82248661385513
188,-284.7794290807903
189,-75.04992774361372
190,-177.83639310538302
191,-73.71390771437896
192,-15.851536418921327
193,-69.5975652370238
194,-49.30454740402381
195,-47.39901660170767
196,-65.81376813406999
197,-81.12990428567466
198,-233.72123208192022
199,-152.6479144274638
200,-87.1281530773591
201,-50.69754740478051
202,-28.497360217831186
203,-15.76474938495916
204,-42.094533768794854
205,-13.534940023848634
206,-23.611378967564605
207,-46.29357884420628
208,-139.21875616591262
209,-43.798090337304245
210,-11.901848408507021
211,-80.42991521155447
212,-108.46982688687821
213,-75.16280120060947
214,-175.7165134582852
215,-31.66243658728648
216,-95.3432061221513
217,-13.30932092712851
218,-23.104165538945665
219,-2.0018821290478996
220,-75.15725087470432
221,-46.38306998701995
222,-64.90319067121203
223,-42.7994954917434
224,-20.145273401108525
225,-66.04507056971357
226,-149.72637274129835
227,33.58590474704968
228,-33.80462075272371
229,31.95388625260952
230,-64.91157038985534
231,-31.803166143250678
232,-12.596720580277918
