Episode,Reward
0,-363.8935474305921
1,-111.32221575008043
2,-225.8540896909402
3,-91.93918265484149
4,8.684709391778853
5,-388.59206174360327
6,-144.44529281758906
7,-142.15134631714528
8,-56.67782056324219
9,-77.02931016644813
10,-58.1574421042192
11,-137.1900223447766
12,-43.80423393786798
13,-80.22539606225604
14,-453.75322957030323
15,-488.765646374006
16,-98.92418074874772
17,-184.23781006784756
18,-121.80502983463137
19,-336.58254957871355
20,-118.75137875128866
21,-77.0625444740713
22,-4.642186369627169
23,-164.44249066285568
24,-47.66344939716391
25,-223.62790774766688
26,-278.42358847720686
27,-292.42127688889366
28,-110.56242363330016
29,-149.33619905535528
30,-347.6695114184722
31,-375.2317406807451
32,-88.20280891996791
33,-120.49609649370231
34,-139.9925677667896
35,-287.6443655155401
36,-134.54156767560897
37,-61.296285850332445
38,-127.31860862130117
39,-90.70894564014934
40,-154.27690875470682
41,-25.58756408416788
42,-166.0797018650258
43,-149.94615991563805
44,-171.2593925278384
45,-42.37570231745809
46,-216.91265282797076
47,-170.3529313646792
48,-57.41466223112413
49,-34.63278917092268
50,-57.415406405600436
51,-111.55150987813077
52,-137.97314786890956
53,32.41234507453663
54,-176.6359524629325
55,-35.16760166906221
56,-71.23897442620188
57,-152.91131627744886
58,-4.495297907295665
59,-40.80151618343111
60,-100.13891556724101
61,-214.77469922126232
62,-89.30004531983718
63,-167.0340489271502
64,-205.67575212371779
65,-106.66310835134699
66,-290.6021783080097
67,35.447694283544934
68,-24.489162855767773
69,-98.50078191034878
70,-108.40556858020037
71,-164.86577485297414
72,-334.8407954863287
73,-7.736425006359568
74,-211.54789578948888
75,-68.58056146023036
76,-56.118113452000394
77,-124.95441967499836
78,-115.75418561491311
79,-97.72009462256118
80,-127.98490018361967
81,-90.41852022199262
82,-10.51290875649589
83,-85.32845597749824
84,-52.340253048791254
85,-19.769784710412594
86,-72.48202437296106
87,34.62177828223571
88,-117.81293555039706
89,-100.58021207413128
90,-142.7908846074198
91,-8.35754938199588
92,-106.43401350278381
93,-245.21067934458694
94,-55.639882127633584
95,-102.22038528830247
96,-49.50358649001672
97,-44.06341809764964
98,-59.591373738247775
99,-98.91731439083098
100,14.050319055188012
101,5.188721530671813
102,-19.300966929707783
103,-21.315168619779172
104,15.325679417882085
105,-95.7039201221715
106,-261.479361326506
107,51.468493591165526
108,-191.08230911276138
109,3.7282162564156636
110,-59.6634722996454
111,-48.67071465252421
112,-16.043790434225016
113,-102.79602644102657
114,-231.73732523427825
115,-72.41612375671896
116,-44.775178228284446
117,-256.7142237271206
118,17.941327448864484
119,-41.42150127979111
120,-97.30765266154008
121,-50.47977260032441
122,-156.3600882799114
123,-80.05780719053661
124,-146.49265884221393
125,7.827343340493471
126,-39.32786126789177
127,-94.14099659606931
128,-58.79344700228374
129,-80.48048082824583
130,-96.02036941033866
131,-244.89135183971953
132,-40.224828063669975
133,-33.5291774498189
134,-15.495801288031888
135,-27.953152661760658
136,-36.122533811132335
137,-65.21359869109327
138,-45.269429217068435
139,-73.84768959166988
140,-8.600063425518549
141,-91.97716235895257
142,-27.769685481060378
143,-60.389277971184555
144,-32.86941415993145
145,-85.18758770824184
146,-48.05658608285137
147,-68.54003965306849
148,-35.53437788772426
149,2.4493496952360934
150,-10.68343810385596
151,-45.890425261145154
152,-72.9708053564435
153,-38.77781962345202
154,-39.71151545958773
155,-31.520714985388608
156,-33.119596754598746
157,-40.22921366053646
158,-77.62696803744969
159,-38.682089494070674
160,-41.32588802971439
161,-63.70687715738375
162,-25.147357999584997
163,-17.67897937491049
164,-76.43065009497091
165,-82.31682479700528
166,-56.507456731894735
167,-29.886359857070772
168,-83.69297089881609
169,-60.405409454894354
170,-76.60151238700249
171,-76.34549121838063
172,-95.20877517638175
173,-83.32467571953421
174,-73.45104039637705
175,-49.146724165478346
176,-65.93024338259703
177,-36.79763595484596
178,-68.23651802393186
179,-80.6610550144479
180,-68.41246966922041
181,-31.23709742143802
182,-47.71576332884902
183,-78.07031215917993
184,-63.240033521592366
185,-53.25061240648467
186,-101.15457764831045
187,-72.10288942925067
188,-55.486847910818945
189,-68.94564913813971
190,-94.24715150019706
191,-61.122426981574506
192,-10.748092623646716
193,-73.88096907488966
194,-42.66670590965465
195,-36.54607600123811
196,-22.03163982977972
197,-86.17914500434199
198,-61.963033008885766
199,-42.58459374842733
200,-56.06167974780546
201,-78.55119897467371
202,-14.535057949356611
203,-40.96365843635407
204,-71.43324602635383
205,-67.75556728369378
206,-60.93624992272594
207,-14.758471383749328
208,-62.90445338341001
209,-31.39398263708226
210,-65.83483292931317
211,-29.85701785813455
212,-41.79298288513304
213,4.692848214052353
214,-48.11148600163624
215,-62.81319334354045
216,-28.15933581337232
217,-19.51495165613914
218,-47.00218302889811
219,-53.664202181435265
220,-23.12443173963446
221,-21.937031742424395
222,-42.14882117532828
223,-10.940790081452782
224,-58.33637791608739
225,-49.37859464912247
226,-44.88709487371518
227,-33.87492985368455
228,-14.271193800273224
229,-55.76993774579014
230,-36.26968070273776
231,-85.42762050378124
232,-39.241626880501805
233,-35.88775480875925
234,-51.56393212744552
235,-75.06544349388903
236,-54.91552749789098
237,-100.12427145256488
238,265.6209147134865
239,-40.414848735153456
240,-55.1646568020451
241,-79.29368732019746
242,-57.08119069420636
243,-102.12255049706354
244,-28.198466406422952
245,-29.925797516270244
246,-72.45970710733599
247,-81.77690048783786
248,-63.1156897507816
249,-15.558414239931416
250,-87.90707180805005
251,-72.75604008418328
252,-16.011665763226812
253,-76.52616981552428
254,-42.43847146027173
255,-6.5638835269264675
256,-63.51470772490176
257,-230.36045062291188
258,-288.8064270883705
259,-30.96548755716124
260,-98.89531582406644
261,-70.88646198540167
262,-35.906671795956235
263,-34.83051517742645
264,-69.0269767349327
265,-65.4294545980706
266,-7.483243019288465
267,-8.533261289002677
268,-56.246815733111234
269,-31.843114930535283
270,-14.163420932564623
271,-3.362839980476203
272,-33.90562430988352
273,-28.466381926366154
274,-67.50963102306498
275,-37.95950838218635
276,-41.97251288990723
277,-35.47207531293544
278,-79.69404263252004
279,-91.82955351705634
280,-43.8330455933549
281,-48.470145518479676
282,-44.65996612877393
283,-48.51855273358758
284,-35.02791950400375
285,-69.02953108371473
286,-85.5309249503835
287,-89.93857514791551
288,-21.95059959271077
289,-32.14702339966928
290,-41.438239509737684
291,-51.10516117064458
292,-81.99366414410983
293,-48.661179668002724
294,-82.38671387886453
295,-47.311131934188325
296,-27.731927656651244
297,-19.736368418346242
298,-31.78434973657695
299,-44.76969346110864
300,-106.86807150553133
301,-55.48061537034319
302,-7.952178306233073
303,-13.919095608733697
304,-17.942678173428966
305,-49.144349571134285
306,-34.290732826932796
307,-60.63059290481745
308,-19.68301992319316
309,-16.859399638021213
310,-47.339331926190354
311,3.8948891747550554
312,-5.070458683736265
313,39.335601092584795
314,-25.063046317592484
315,82.67906047027252
316,48.65143228423505
317,-8.430380539105112
318,-13.892286927321503
319,177.05598240016758
320,-27.428758350469778
321,1.7565401156573053
322,11.591989474402677
323,53.63026669917411
324,12.800520822976914
325,43.46218726130534
326,215.85365473623233
327,-259.3260358251838
328,144.45178661934668
329,201.89948679448804
330,247.7940539603823
331,221.15138013774026
332,215.21213670189766
333,210.3809561830451
334,179.89489273399204
335,226.0793496712376
336,65.12340896785993
337,99.91970942701315
338,164.56940812823683
